"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "XML", "Markdown", "JSON", "HTML", "Dotenv", "comment", "blank", "total"
"d:\Find_Study\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"d:\Find_Study\README.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 8, 17
"d:\Find_Study\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Find_Study\index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"d:\Find_Study\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3226, 0, 0, 0, 1, 3227
"d:\Find_Study\package.json", "JSON", 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"d:\Find_Study\public\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Find_Study\public\icons.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"d:\Find_Study\src\App.jsx", "JavaScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 3, 3, 28
"d:\Find_Study\src\GenealComponents\MainLayout.jsx", "JavaScript JSX", 0, 0, 77, 0, 0, 0, 0, 0, 0, 6, 83
"d:\Find_Study\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Find_Study\src\assets\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Find_Study\src\features\groups\api\groupsApi.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 11, 35
"d:\Find_Study\src\features\groups\components\CreateGroupForm.jsx", "JavaScript JSX", 0, 0, 250, 0, 0, 0, 0, 0, 0, 18, 268
"d:\Find_Study\src\features\groups\components\FilterBar.jsx", "JavaScript JSX", 0, 0, 138, 0, 0, 0, 0, 0, 7, 15, 160
"d:\Find_Study\src\features\groups\components\GroupCard.jsx", "JavaScript JSX", 0, 0, 88, 0, 0, 0, 0, 0, 0, 7, 95
"d:\Find_Study\src\features\groups\components\GroupDetail.jsx", "JavaScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 4, 14, 119
"d:\Find_Study\src\features\groups\components\GroupList.jsx", "JavaScript JSX", 0, 0, 183, 0, 0, 0, 0, 0, 5, 23, 211
"d:\Find_Study\src\features\groups\hooks\useCreateGroup.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"d:\Find_Study\src\features\groups\hooks\useDeleteGroup.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"d:\Find_Study\src\features\groups\hooks\useGetGroups.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Find_Study\src\features\groups\hooks\useGroup.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Find_Study\src\features\groups\hooks\useUserLocation.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 10, 22, 128
"d:\Find_Study\src\index.css", "CSS", 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Find_Study\src\lib\countries.js", "JavaScript", 681, 0, 0, 0, 0, 0, 0, 0, 1, 2, 684
"d:\Find_Study\src\lib\groupSchema.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 1, 9, 47
"d:\Find_Study\src\lib\platforms.js", "JavaScript", 216, 0, 0, 0, 0, 0, 0, 0, 0, 7, 223
"d:\Find_Study\src\lib\supabase.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\Find_Study\src\main.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 1, 4, 20
"d:\Find_Study\vite.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 1141, 15, 874, 27, 9, 3266, 14, 2, 35, 174, 5557
