"filename", "language", "JavaScript", "JavaScript JSX", "Markdown", "JSON", "HTML", "XML", "Dotenv", "CSS", "comment", "blank", "total"
"d:\Find_Study\.agents\rules\auth-implmentation.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 0, 12, 27
"d:\Find_Study\.agents\rules\general-rules.md", "Markdown", 0, 0, 33, 0, 0, 0, 0, 0, 0, 10, 43
"d:\Find_Study\.agents\rules\style-guide.md", "Markdown", 0, 0, 52, 0, 0, 0, 0, 0, 0, 41, 93
"d:\Find_Study\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\Find_Study\README.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 8, 17
"d:\Find_Study\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Find_Study\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Find_Study\package-lock.json", "JSON", 0, 0, 0, 3242, 0, 0, 0, 0, 0, 1, 3243
"d:\Find_Study\package.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
"d:\Find_Study\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Find_Study\public\icons.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"d:\Find_Study\src\App.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 0, 7, 74
"d:\Find_Study\src\GenealComponents\MainLayout.jsx", "JavaScript JSX", 0, 197, 0, 0, 0, 0, 0, 0, 2, 13, 212
"d:\Find_Study\src\GenealComponents\RootLayout.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Find_Study\src\GenealComponents\ScrollToTop.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Find_Study\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
